OBJECTID,Parcel Number,APN  JF,Address,City,Zip Code,Legal Line,Case No 1,Case No 2,Case No 3,Case No 4,Amount 1,Amount 2,Amount 3,Amount 4,Sale Location
413,12-640-06-09-00-0-00-000,JA12640060900000000,735 N GARLAND AVE,KANSAS CITY,64120,HAMLINS ADD ALL OF LOT 34 & N 1/2 OF LOT 35 BLK 1,K2015-01000,,,,420.86,,,,Kansas City
410,12-710-09-13-00-0-00-000,JA12710091300000000,1815 NICHOLSON AVE,KANSAS CITY,64120,GUINOTTE'S ADD LOT 17 & W 12 1/2' OF LOT 18 BLK 22 (EX PT IN RR ROW),K2015-01001,,,,835.12,,,,Kansas City
397,12-740-20-04-00-0-00-000,JA12740200400000000,309 ORD ST,KANSAS CITY,64124,"MATHEWS & HILL'S ADD, E 20 FT OF VAC ORD ST ADJ &   W 123.69 FT OF LOT 14 P E, 20 FT OFVAC ORD ST ADJ & S    3FT OF W 123.69 FT OF LOT, 15BLK 2",K2015-01003,,,,2707.54,,,,Kansas City
1015,12-840-11-01-00-0-00-000,JA12840110100000000,105 HARRISON ST,KANSAS CITY,64120,"EAST KANSAS, W 1/2 VAC ALLEY E OF & ADJ    & ALLOF 2 & 3 BLK 74 LY N, OF R OF W",K2015-01009,,,,1284.25,,,,Kansas City
414,13-430-13-10-00-0-00-000,JA13430131000000000,2924 NICHOLSON AVE,KANSAS CITY,64120,"LORENE PLACE, LOT 12",K2015-01015,,,,4181,,,,Kansas City
412,13-430-21-33-00-0-00-000,JA13430213300000000,714 N PROSPECT AVE,KANSAS CITY,64120,BULLENE MOORE'S & EMERY'S ADD---LOTS 44 & 45 BLK 1,K2015-01018,,,,686.03,,,,Kansas City
409,13-720-10-15-00-0-00-000,JA13720101500000000,417 N WHEELING AVE,KANSAS CITY,64123,"SMITH BROTHERS ADD, LOT 18",K2015-01020,,,,2978.63,,,,Kansas City
392,13-730-09-19-00-0-00-000,JA13730091900000000,338 WHEELING AVE,KANSAS CITY,64123,"FOREST PARK, LOT 42",K2015-01029,,,,2502.42,,,,Kansas City
824,13-730-12-28-00-0-00-000,JA13730122800000000,424 WHEELING AVE,KANSAS CITY,64123,"FOREST PARK, LOT 48",K2014-01042,,,,2842.69,,,,Kansas City
935,13-730-05-11-00-0-00-000,JA13730051100000000,117 TOPPING AVE,KANSAS CITY,64123,"COLLINS W H 5TH ADD, ALL OF LOT 3 & IRREG TRACT 34' BY 38' E OF & ADJ",K2014-01037,,,,1879.64,,,,Kansas City
821,13-810-07-26-00-0-00-000,JA13810072600000000,416 N QUINCY AVE,KANSAS CITY,64123,"BUDD PARK PLACE, ALL LOT 33 & S 1/2 OF LOT 34 BLK 2",K2015-01035,,,,3390.71,,,,Kansas City
406,13-820-05-07-00-0-00-000,JA13820050700000000,419 N LAWN AVE,KANSAS CITY,64123,"NORTH BURGE PARK, S 33' LOT 22 BLK 14",K2015-01044,,,,3388.61,,,,Kansas City
311,13-830-03-16-00-0-00-000,JA13830031600000000,145 LAWN AVE,KANSAS CITY,64123,"ABINGTON PARK NO 2, LOT 15 BLK 4",K2015-01049,,,,6049.53,,,,Kansas City
402,13-830-05-22-00-0-00-000,JA13830052200000000,110 ELMWOOD AVE,KANSAS CITY,64123,"ABINGTON PARK CORRECTED PLA, T OF S 35 ' OF LOTS 146 &     147",K2015-01051,,,,2332.91,,,,Kansas City
810,13-830-23-21-00-0-00-000,JA13830232100000000,428 KENSINGTON AVE,KANSAS CITY,64124,"GLADSTONE HEIGHTS, S 25' OF LOT 8 BLK 7",K2015-01059,,,,2062.2,,,,Kansas City
310,13-830-25-08-00-0-00-000,JA13830250800000000,517 JACKSON AVE APT 2,KANSAS CITY,64124,GLADSTONE HEIGHTS---N 21' OF LOT 6 & S 19' OF LOT 7 BLK 1,K2015-01061,,,,5929.8,,,,Kansas City
379,13-830-28-16-00-0-00-000,JA13830281600000000,4506 INDEPENDENCE AVE,KANSAS CITY,64124,"GLADSTONE HEIGHTS RES, N 135' OF LOTS N & 0",K2015-01065,,,,5866.24,,,,Kansas City
